key;zipcode;neighbourhood;city;state
1070_Anderlecht;1070;Anderlecht;Anderlecht;Region de Bruxelles-Capitale
1070_Molenbeek-Saint-Jean;1070;Anderlecht;Anderlecht;Region de Bruxelles-Capitale
1070_None;1070;Anderlecht;Anderlecht;Region de Bruxelles-Capitale
1000_Anneessens;1000;Anneessens;Bruxelles;Bruxelles
1160_Auderghem;1160;Auderghem;Auderghem;Region de Bruxelles-Capitale
1160_Etterbeek;1160;Auderghem;Auderghem;Region de Bruxelles-Capitale
1160_None;1160;Auderghem;Auderghem;Region de Bruxelles-Capitale
1160_Watermael-Boitsfort;1160;Auderghem;Auderghem;Region de Bruxelles-Capitale
1160_Woluwe-Saint-Pierre;1160;Auderghem;Auderghem;Region de Bruxelles-Capitale
None_Auderghem;1160;Auderghem;Auderghem;Region de Bruxelles-Capitale
1060_Beckmans;1060;Beckmans;Saint-Gilles;Region de Bruxelles-Capitale
None_Beckmans;1060;Beckmans;Saint-Gilles;Region de Bruxelles-Capitale
1000_Beguinage-Dixmude;1000;Beguinage-Dixmude;Bruxelles;Bruxelles
None_Beguinage-Dixmude;1000;Beguinage-Dixmude;Bruxelles;Bruxelles
1080_Berchem-Sainte-Agathe;1080;Molenbeek-Saint-Jean;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1082_Berchem-Sainte-Agathe;1082;Berchem-Sainte-Agathe;Berchem-Sainte-Agathe;Region de Bruxelles-Capitale
1700_Berchem-Sainte-Agathe;1700;Dilbeek;Dilbeek;Vlaams Gewest
3190_Grand Place;3190;Boortmeerbeek;Boortmeerbeek;Vlaams Gewest
1000_Auderghem;1000;Bruxelles-Ville;Bruxelles;Bruxelles
1000_Bruxelles-Ville;1000;Bruxelles-Ville;Bruxelles;Bruxelles
1000_Etterbeek;1000;Bruxelles-Ville;Bruxelles;Bruxelles
1000_Flagey;1000;Bruxelles-Ville;Bruxelles;Bruxelles
1000_Ixelles;1000;Bruxelles-Ville;Bruxelles;Bruxelles
1000_Molenbeek Historique;1000;Bruxelles-Ville;Bruxelles;Bruxelles
1000_None;1000;Bruxelles-Ville;Bruxelles;Bruxelles
1000_Saint-Josse Centre;1000;Bruxelles-Ville;Bruxelles;Bruxelles
1000_Schaerbeek;1000;Bruxelles-Ville;Bruxelles;Bruxelles
1000_Uccle;1000;Bruxelles-Ville;Bruxelles;Bruxelles
1050_Bruxelles-Ville;1000;Bruxelles-Ville;Bruxelles;Bruxelles
None_Anneessens;1000;Bruxelles-Ville;Bruxelles;Bruxelles
None_Bruxelles-Ville;1000;Bruxelles-Ville;Bruxelles;Bruxelles
None_Dansaert;1000;Bruxelles-Ville;Bruxelles;Bruxelles
1000_Chatelain;1000;Chatelain;Bruxelles;Bruxelles
1050_Chatelain;1050;Chatelain;Ixelles;Region de Bruxelles-Capitale
1060_Chatelain;1060;Chatelain;Saint-Gilles;Region de Bruxelles-Capitale
1030_Chausee De Haecht;1030;Chausee De Haecht;Schaarbeek;Region de Bruxelles-Capitale
1210_Chausee De Haecht;1210;Chausee De Haecht;Saint-Josse-ten-Noode;Region de Bruxelles-Capitale
1210_None;1210;Chausee De Haecht;Saint-Josse-ten-Noode;Region de Bruxelles-Capitale
None_Cureghem Bara;1070;Cureghem;Anderlecht;Region de Bruxelles-Capitale
1060_Cureghem Bara;1060;Cureghem;Saint-Gilles;Region de Bruxelles-Capitale
1070_Cureghem Bara;1070;Cureghem;Anderlecht;Region de Bruxelles-Capitale
1070_Cureghem Rosee;1070;Cureghem;Anderlecht;Region de Bruxelles-Capitale
1080_Cureghem Rosee;1080;Cureghem;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1000_Dansaert;1000;Dansaert;Bruxelles;Bruxelles
1080_Dansaert;1080;Dansaert;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1070_Duchesse;1070;Duchesse;Anderlecht;Region de Bruxelles-Capitale
1080_Duchesse;1080;Duchesse;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1040_Bruxelles-Ville;1040;Etterbeek;Etterbeek;Region de Bruxelles-Capitale
1040_Etterbeek;1040;Etterbeek;Etterbeek;Region de Bruxelles-Capitale
1040_Ixelles;1040;Etterbeek;Etterbeek;Region de Bruxelles-Capitale
1040_None;1040;Etterbeek;Etterbeek;Region de Bruxelles-Capitale
1040_Woluwe-Saint-Lambert;1040;Etterbeek;Etterbeek;Region de Bruxelles-Capitale
1040_Woluwe-Saint-Pierre;1040;Etterbeek;Etterbeek;Region de Bruxelles-Capitale
None_Etterbeek;1040;Etterbeek;Etterbeek;Region de Bruxelles-Capitale
None_Quartier Europeen;1040;Etterbeek;Etterbeek;Region de Bruxelles-Capitale
1140_Evere;1140;Evere;Evere;Region de Bruxelles-Capitale
1140_None;1140;Evere;Evere;Region de Bruxelles-Capitale
1050_Flagey;1050;Flagey;Ixelles;Region de Bruxelles-Capitale
None_Flagey;1050;Flagey;Ixelles;Region de Bruxelles-Capitale
1190_Forest;1190;Forest;Forest;Region de Bruxelles-Capitale
1190_Haut Saint-Gilles;1190;Forest;Forest;Region de Bruxelles-Capitale
1190_Ixelles;1190;Forest;Forest;Region de Bruxelles-Capitale
1190_None;1190;Forest;Forest;Region de Bruxelles-Capitale
None_Forest;1190;Forest;Forest;Region de Bruxelles-Capitale
1083_Ganshoren;1083;Ganshoren;Ganshoren;Region de Bruxelles-Capitale
1083_Koekelberg;1083;Ganshoren;Ganshoren;Region de Bruxelles-Capitale
1080_Gare De L'Ouest;1080;Gare De L'Ouest;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1081_Gare De L'Ouest;1081;Gare De L'Ouest;Koekelberg;Region de Bruxelles-Capitale
1000_Grand Place;1000;Grand Place;Bruxelles;Bruxelles
None_Grand Place;1000;Grand Place;Bruxelles;Bruxelles
1130_Bruxelles-Ville;1130;Haren;Haren;Region de Bruxelles-Capitale
1060_Haut Saint-Gilles;1060;Haut Saint-Gilles;Saint-Gilles;Region de Bruxelles-Capitale
None_Haut Saint-Gilles;1060;Haut Saint-Gilles;Saint-Gilles;Region de Bruxelles-Capitale
1050_Etterbeek;1050;Ixelles;Ixelles;Region de Bruxelles-Capitale
1050_Forest;1050;Ixelles;Ixelles;Region de Bruxelles-Capitale
1050_Ixelles;1050;Ixelles;Ixelles;Region de Bruxelles-Capitale
1050_None;1050;Ixelles;Ixelles;Region de Bruxelles-Capitale
1050_Uccle;1050;Ixelles;Ixelles;Region de Bruxelles-Capitale
None_Chatelain;1050;Ixelles;Ixelles;Region de Bruxelles-Capitale
None_Ixelles;1050;Ixelles;Ixelles;Region de Bruxelles-Capitale
None_None;1050;Ixelles;Ixelles;Region de Bruxelles-Capitale
1090_Bruxelles-Ville;1090;Jette;Jette;Region de Bruxelles-Capitale
1090_Jette;1090;Jette;Jette;Region de Bruxelles-Capitale
1090_None;1090;Jette;Jette;Region de Bruxelles-Capitale
None_Jette;1090;Jette;Jette;Region de Bruxelles-Capitale
1081_Koekelberg;1081;Koekelberg;Koekelberg;Region de Bruxelles-Capitale
1081_Molenbeek-Saint-Jean;1081;Koekelberg;Koekelberg;Region de Bruxelles-Capitale
1081_None;1081;Koekelberg;Koekelberg;Region de Bruxelles-Capitale
1081_Quartier Koekelberg;1081;Koekelberg;Koekelberg;Region de Bruxelles-Capitale
None_Koekelberg;1081;Koekelberg;Koekelberg;Region de Bruxelles-Capitale
1950_None;1950;Kraainem;Kraainem;Vlaams Gewest
1950_Woluwe-Saint-Pierre;1950;Kraainem;Kraainem;Vlaams Gewest
1020_Bruxelles-Ville;1020;Laeken;Laeken;Region de Bruxelles-Capitale
1020_Jette;1020;Laeken;Laeken;Region de Bruxelles-Capitale
1020_None;1020;Laeken;Laeken;Region de Bruxelles-Capitale
1630_Uccle;1630;Linkebeek;Linkebeek;Vlaams Gewest
1000_Louise;1000;Louise;Bruxelles;Bruxelles
1050_Louise;1050;Louise;Ixelles;Region de Bruxelles-Capitale
1060_Louise;1060;Louise;Saint-Gilles;Region de Bruxelles-Capitale
None_Louise;1050;Louise;Ixelles;Region de Bruxelles-Capitale
1000_Marolles;1000;Marolles;Bruxelles;Bruxelles
1060_Marolles;1060;Marolles;Saint-Gilles;Region de Bruxelles-Capitale
None_Marolles;1000;Marolles;Bruxelles;Bruxelles
1000_Martyrs;1000;Martyrs;Bruxelles;Bruxelles
6791_Martyrs;6791;Martyrs;Athus;Region wallonne
1000_Matonge;1000;Matonge;Bruxelles;Bruxelles
1050_Matonge;1050;Matonge;Ixelles;Region de Bruxelles-Capitale
None_Matonge;1050;Matonge;Ixelles;Region de Bruxelles-Capitale
1080_Molenbeek Historique;1080;Molenbeek Historique;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1080_None;1080;Molenbeek Historique;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
None_Molenbeek Historique;1080;Molenbeek Historique;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1080_Anderlecht;1080;Molenbeek-Saint-Jean;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1080_Jette;1080;Molenbeek-Saint-Jean;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1080_Molenbeek-Saint-Jean;1080;Molenbeek-Saint-Jean;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
None_Molenbeek-Saint-Jean;1080;Molenbeek-Saint-Jean;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1120_Bruxelles-Ville;1120;Neder-Over-Heembeek;Neder-Over-Heembeek;Region de Bruxelles-Capitale
1120_None;1120;Neder-Over-Heembeek;Neder-Over-Heembeek;Region de Bruxelles-Capitale
1000_Notre-Dame Aux Neiges;1000;Notre-Dame Aux Neiges;Bruxelles;Bruxelles
1060_Porte De Hal;1060;Porte De Hal;Saint-Gilles;Region de Bruxelles-Capitale
1030_Quartier Brabant;1030;Quartier Brabant;Schaarbeek;Region de Bruxelles-Capitale
1210_Quartier Brabant;1210;Quartier Brabant;Saint-Josse-ten-Noode;Region de Bruxelles-Capitale
None_Quartier Brabant;1030;Quartier Brabant;Schaarbeek;Region de Bruxelles-Capitale
1000_Quartier Europeen;1000;Quartier Europeen;Bruxelles;Bruxelles
1030_Quartier Europeen;1030;Quartier Europeen;Schaarbeek;Region de Bruxelles-Capitale
1040_Quartier Europeen;1040;Quartier Europeen;Etterbeek;Region de Bruxelles-Capitale
1050_Quartier Europeen;1050;Quartier Europeen;Ixelles;Region de Bruxelles-Capitale
1105_Quartier Europeen;1105;Quartier Europeen;Bruxelles;Region de Bruxelles-Capitale
1080_Quartier Koekelberg;1080;Molenbeek-Saint-Jean;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1000_Quartier Maritime;1000;Quartier Maritime;Bruxelles;Bruxelles
1080_Quartier Maritime;1080;Quartier Maritime;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
None_Quartier Maritime;1080;Quartier Maritime;Molenbeek-Saint-Jean;Region de Bruxelles-Capitale
1000_Quartier Nord;1000;Quartier Nord;Bruxelles;Bruxelles
1030_Quartier Nord;1030;Quartier Nord;Schaarbeek;Region de Bruxelles-Capitale
1210_Quartier Nord;1210;Quartier Nord;Saint-Josse-ten-Noode;Region de Bruxelles-Capitale
None_Quartier Nord;1000;Quartier Nord;Bruxelles;Bruxelles
1000_Quartier Royal;1000;Quartier Royal;Bruxelles;Bruxelles
1000_Sablon;1000;Sablon;Bruxelles;Bruxelles
1060_Sablon;1060;Sablon;Saint-Gilles;Region de Bruxelles-Capitale
None_Sablon;1000;Sablon;Bruxelles;Bruxelles
1060_Forest;1060;Saint-Gilles;Saint-Gilles;Region de Bruxelles-Capitale
1060_Ixelles;1060;Saint-Gilles;Saint-Gilles;Region de Bruxelles-Capitale
1060_None;1060;Saint-Gilles;Saint-Gilles;Region de Bruxelles-Capitale
1060_Saint-Gilles;1060;Saint-Gilles;Saint-Gilles;Region de Bruxelles-Capitale
None_Saint-Gilles;1060;Saint-Gilles;Saint-Gilles;Region de Bruxelles-Capitale
1210_Saint-Josse Centre;1210;Saint-Josse Centre;Saint-Josse-ten-Noode;Region de Bruxelles-Capitale
None_Saint-Josse Centre;1210;Saint-Josse Centre;Saint-Josse-ten-Noode;Region de Bruxelles-Capitale
1210_Schaerbeek;1210;Saint-Josse-ten-Noode;Saint-Josse-ten-Noode;Region de Bruxelles-Capitale
1030_None;1030;Schaerbeek;Schaarbeek;Region de Bruxelles-Capitale
1030_Schaerbeek;1030;Schaerbeek;Schaarbeek;Region de Bruxelles-Capitale
None_Chausee De Haecht;1030;Schaerbeek;Schaarbeek;Region de Bruxelles-Capitale
None_Schaerbeek;1030;Schaerbeek;Schaarbeek;Region de Bruxelles-Capitale
1000_Squares;1000;Squares;Bruxelles;Bruxelles
None_Squares;1000;Squares;Bruxelles;Bruxelles
1000_Stalingrad;1000;Stalingrad;Bruxelles;Bruxelles
None_Stalingrad;1000;Stalingrad;Bruxelles;Bruxelles
1180_Forest;1180;Uccle;Uccle;Region de Bruxelles-Capitale
1180_Ixelles;1180;Uccle;Uccle;Region de Bruxelles-Capitale
1180_None;1180;Uccle;Uccle;Region de Bruxelles-Capitale
1180_Uccle;1180;Uccle;Uccle;Region de Bruxelles-Capitale
None_Uccle;1180;Uccle;Uccle;Region de Bruxelles-Capitale
1800_Bruxelles-Ville;1800;Vilvoorde;Vilvoorde;Vlaams Gewest
1170_None;1170;Watermael-Boitsfort;Watermael-Boitsfort;Region de Bruxelles-Capitale
1170_Uccle;1170;Watermael-Boitsfort;Watermael-Boitsfort;Region de Bruxelles-Capitale
1170_Watermael-Boitsfort;1170;Watermael-Boitsfort;Watermael-Boitsfort;Region de Bruxelles-Capitale
None_Watermael-Boitsfort;1170;Watermael-Boitsfort;Watermael-Boitsfort;Region de Bruxelles-Capitale
1200_Etterbeek;1200;Woluwe-Saint-Lambert;Woluwe-Saint-Lambert;Region de Bruxelles-Capitale
1200_None;1200;Woluwe-Saint-Lambert;Woluwe-Saint-Lambert;Region de Bruxelles-Capitale
1200_Schaerbeek;1200;Woluwe-Saint-Lambert;Woluwe-Saint-Lambert;Region de Bruxelles-Capitale
1200_Woluwe-Saint-Lambert;1200;Woluwe-Saint-Lambert;Woluwe-Saint-Lambert;Region de Bruxelles-Capitale
1200_Woluwe-Saint-Pierre;1200;Woluwe-Saint-Lambert;Woluwe-Saint-Lambert;Region de Bruxelles-Capitale
None_Woluwe-Saint-Lambert;1200;Woluwe-Saint-Lambert;Woluwe-Saint-Lambert;Region de Bruxelles-Capitale
1150_Auderghem;1150;Woluwe-Saint-Pierre;Woluwe-Saint-Pierre;Region de Bruxelles-Capitale
1150_None;1150;Woluwe-Saint-Pierre;Woluwe-Saint-Pierre;Region de Bruxelles-Capitale
1150_Woluwe-Saint-Lambert;1150;Woluwe-Saint-Pierre;Woluwe-Saint-Pierre;Region de Bruxelles-Capitale
1150_Woluwe-Saint-Pierre;1150;Woluwe-Saint-Pierre;Woluwe-Saint-Pierre;Region de Bruxelles-Capitale
None_Woluwe-Saint-Pierre;1150;Woluwe-Saint-Pierre;Woluwe-Saint-Pierre;Region de Bruxelles-Capitale
1932_Woluwe-Saint-Lambert;1932;Zaventem;Zaventem;Vlaams Gewest
